Symbol,Ebitda,Revenuegrowth,Fulltimeemployees,Weight,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Score
EL,4248999936.0,0.141,44640.0,0.0028622344575268,6.9,7.7,11.3,2.0
PYPL,4888999936.0,0.075,30900.0,0.0028582794671772,0.7,5.4,9.9,2.0
AMAT,8163999744.0,0.215,28500.0,0.0027751113670843,3.8,5.1,2.6,1.0
MDLZ,6096999936.0,0.073,79000.0,0.0027724772074447,9.5,5.2,9.1,3.0
CHTR,20758999040.0,0.054,93700.0,0.0027119362877343,6.0,8.0,13.0,2.0
SPGI,4710000128.0,0.118,22850.0,0.0027101280999821,0.0,8.1,6.2,1.0
ADI,3448051968.0,0.722,24700.0,0.0026837019145454,10.1,5.9,7.7,0.0
NOW,714000000.0,0.266,16881.0,0.0026569598782867,1.4,6.3,8.4,1.0
ZTS,3207000064.0,0.089,12100.0,0.0026351333189476,1.4,8.9,8.1,1.0
DUK,11507000320.0,0.08,27605.0,0.0025999279810167,14.5,4.6,8.6,2.0
CB,7998000128.0,-0.034,31000.0,0.00256092467276,1.7,10.6,11.6,2.0
MO,12373000192.0,-0.013,6000.0,0.0025604453348623,4.7,6.3,13.0,2.0
MMM,9457999872.0,-0.002,95000.0,0.0025291936938706,12.3,7.7,13.6,3.0
MMC,5562999808.0,0.092,83000.0,0.0024841211866092,0.1,11.5,7.9,2.0
GE,6878000128.0,-0.002,168000.0,0.0024797101397493,14.1,11.6,15.0,3.0
SO,7861000192.0,0.125,27027.0,0.0024600660811348,14.8,7.3,11.0,2.0
ISRG,2131800064.0,0.151,9793.0,0.0024455247852672,4.4,9.6,9.8,1.0
SYK,4605000192.0,0.081,46000.0,0.0024349850425238,3.7,10.8,14.0,3.0
GILD,13186499584.0,0.026,14400.0,0.0024011621016384,0.0,8.0,14.0,2.0
CCI,3806000128.0,0.173,5000.0,0.0023831873184982,5.2,5.1,2.9,0.0
BKNG,3065999872.0,1.408,20097.0,0.0023283658596177,2.0,7.8,12.5,3.0
VRTX,2904600064.0,0.273,3900.0,0.0023140082280282,0.8,6.7,15.4,2.0
CME,3122050048.0,0.077,3480.0,0.0023126762739887,2.1,6.2,6.2,1.0
TGT,11704000512.0,0.094,450000.0,0.0022968079390411,2.0,5.1,7.6,3.0
TJX,5381934080.0,0.266,340000.0,0.0022849440027207,1.9,5.1,7.4,2.0
USB,,-0.125,70000.0,0.0022203453958741,1.7,12.5,15.9,3.0
GOOG,95841001472.0,0.23,163906.0,0.0022098798948883,,,,
NOC,8807000064.0,-0.039,90000.0,0.0022091659323424,7.5,5.1,14.9,2.0
GOOGL,95841001472.0,0.23,163906.0,0.0022013358844065,1.7,11.4,11.1,4.0
BDX,5266999808.0,-0.06,75000.0,0.0021975741295721,3.7,7.5,15.6,3.0
CSX,6819999744.0,0.213,21000.0,0.0021823853524535,7.4,3.4,9.2,3.0
PNC,,0.027,57668.0,0.0021582997224935,1.7,8.9,11.8,3.0
MU,17064999936.0,0.249,44000.0,0.0021102969939498,6.6,5.8,5.1,2.0
SHW,3094200064.0,0.074,61000.0,0.0021053860439667,12.9,6.7,9.0,2.0
CL,4224000000.0,0.013,33800.0,0.0020900745222003,6.1,6.7,9.4,3.0
PGR,3293449984.0,0.035,49077.0,0.0020777171498088,1.7,10.9,8.4,1.0
MRNA,13528000512.0,11.629,2700.0,0.0020600119133979,,,,
WM,5082999808.0,0.134,48500.0,0.0020475786178153,8.2,3.3,5.2,2.0
TFC,,-0.003,51169.0,0.0020431248884119,,,,
D,7194999808.0,0.102,17100.0,0.0020268020490465,11.1,5.7,8.6,2.0
EW,1781200000.0,0.102,15700.0,0.0020134772056688,2.9,7.6,8.9,2.0
HCA,12433000448.0,0.069,204000.0,0.0020029557000122,3.5,7.4,17.3,2.0
HUM,4649999872.0,0.16,95500.0,0.0019980512170812,0.0,5.9,16.4,2.0
LRCX,5542600192.0,0.055,16900.0,0.0019884145334856,4.5,5.0,4.0,1.0
REGN,9233000448.0,1.044,10368.0,0.001978332140663,0.4,7.0,10.8,2.0
ATVI,3127000064.0,-0.223,9800.0,0.0019618493064299,0.2,6.3,12.5,4.0
AON,3936000000.0,0.041,50000.0,0.0019428156081876,,,,
ITW,3910000128.0,0.059,45000.0,0.0019204612080605,4.3,6.2,9.1,2.0
GD,5267999744.0,0.0,103100.0,0.0019188736761241,8.5,6.9,19.5,3.0
EOG,10099000320.0,1.047,2800.0,0.0019168457379433,20.4,7.7,8.1,1.0
FDX,12179000320.0,0.099,384000.0,0.0018814945033183,5.3,5.8,9.3,2.0
NSC,5816000000.0,0.105,18100.0,0.0018796328977162,8.1,3.3,11.4,2.0
FIS,3939000064.0,0.107,65000.0,0.0018669094901788,1.3,5.7,11.1,1.0
AMZN,55449001984.0,0.073,1622000.0,0.0018386151027469,5.6,9.9,14.8,3.0
OXY,13112000512.0,0.902,11678.0,0.0018306114791341,25.0,7.0,12.0,2.0
EQIX,2420516096.0,0.087,11124.0,0.0018245245604069,2.6,5.7,3.5,1.0
PSA,2477064960.0,0.227,5800.0,0.0018090767131833,5.0,5.0,3.0,1.0
DG,3864591104.0,0.028,163000.0,0.0017661718324269,3.3,5.5,8.6,2.0
ETN,3441999872.0,0.024,85947.0,0.0017513207647662,5.4,5.7,6.8,1.0
ICE,4344000000.0,0.101,8858.0,0.0017370972598361,1.7,6.7,8.0,2.0
CNC,5330999808.0,0.215,72500.0,0.0017163360826512,0.1,7.2,13.3,2.0
MPC,7120999936.0,0.967,17700.0,0.0017098253133328,15.9,5.8,7.0,3.0
BSX,3236250112.0,0.1,41000.0,0.0017081043014422,3.0,10.6,12.7,2.0
PXD,6721999872.0,1.763,1932.0,0.0016850589614744,18.7,9.1,9.0,1.0
MCO,3116000000.0,0.193,13460.0,0.0016822344118225,0.0,5.3,5.2,2.0
KDP,3779000064.0,0.061,27000.0,0.0016598274992328,,,,
KLAC,3743848960.0,0.269,11300.0,0.0016561579645605,7.1,4.9,4.8,0.0
SNPS,1141699968.0,0.309,16361.0,0.0016445003272004,3.2,4.1,6.2,0.0
APD,3681799936.0,0.177,20000.0,0.0016431174127908,5.9,3.6,1.3,1.0
MCK,3516999936.0,0.096,59000.0,0.0016280088271176,2.3,5.5,7.4,3.0
MET,9504000000.0,0.035,,0.001626900891761,0.7,9.4,4.8,2.0
SRE,4638000128.0,0.212,15390.0,0.0016101862783826,12.0,6.0,7.0,3.0
MNST,1852921984.0,0.191,3458.0,0.0016022102044115,12.0,5.0,11.0,2.0
F,14759000064.0,-0.048,183000.0,0.0015824335712301,9.3,9.4,11.3,3.0
EMR,3976000000.0,0.075,86700.0,0.001581409448868,10.1,7.0,12.3,2.0
SLB,4678000128.0,0.141,92000.0,0.0015767742539842,7.4,5.8,8.8,1.0
MAR,2015000064.0,1.11,120000.0,0.0015533289915178,8.8,4.1,9.1,3.0
GM,14812000256.0,0.108,157000.0,0.001528504565532,10.3,7.7,12.9,4.0
AEP,6635599872.0,0.073,16688.0,0.0015113552369151,13.0,5.0,8.0,2.0
CDNS,1034236992.0,0.225,9300.0,0.0014943003272579,1.4,4.7,6.1,0.0
KHC,6136999936.0,-0.055,36000.0,0.0014935132870239,14.0,7.0,14.0,3.0
NXPI,3828000000.0,0.212,31000.0,0.0014650232065971,8.7,5.6,7.4,1.0
ORLY,3239576064.0,0.066,82516.0,0.0014368981265878,0.2,4.0,8.9,1.0
ECL,2708274944.0,0.132,47000.0,0.0014330966640538,9.0,6.0,8.0,2.0
STZ,3352399872.0,0.077,10000.0,0.0014298566709785,10.0,5.0,10.0,2.0
COF,,-0.055,51500.0,0.001429482358006,0.0,9.0,13.0,4.0
KMB,3440000000.0,0.074,45000.0,0.0014244559064734,8.0,6.0,8.0,2.0
HSY,2543244032.0,0.161,16620.0,0.0014181705785894,11.3,5.2,10.9,3.0
GIS,3773299968.0,0.004,35000.0,0.0014173400797655,8.0,4.0,9.0,2.0
ADM,4211000064.0,0.252,39218.0,0.0014023180232487,18.0,5.0,13.0,3.0
SYY,2800523008.0,0.412,58000.0,0.0013951115284712,2.8,4.6,4.7,2.0
VLO,6672999936.0,0.886,9794.0,0.0013895009727977,18.2,4.7,7.2,2.0
LHX,3560999936.0,-0.102,47000.0,0.0013864167063357,,,,
PAYX,1989900032.0,0.148,15000.0,0.0013810242196572,1.2,6.5,9.8,0.0
EXC,9450999808.0,0.187,31518.0,0.0013809056139227,8.8,6.6,9.0,3.0
ROP,2260000000.0,-0.001,19300.0,0.0013698166891195,4.6,5.6,12.7,0.0
AZO,3649718016.0,0.158,65100.0,0.0013666254576167,0.1,3.8,7.1,2.0
AIG,15806999552.0,0.504,36600.0,0.0013562909791053,2.0,14.0,10.0,2.0
ADSK,826099968.0,0.166,12600.0,0.0013410981924145,3.0,4.0,8.0,0.0
IQV,2582000128.0,0.047,82000.0,0.0013252298574668,1.3,7.2,10.6,2.0
RSG,3343000064.0,0.148,35000.0,0.0013167143020141,11.3,3.7,6.0,3.0
APH,2703500032.0,0.242,90000.0,0.0013130164416539,8.0,7.8,5.5,2.0
CTAS,1831447040.0,0.103,40000.0,0.0013022725987479,3.0,6.0,9.0,2.0
FCX,11854000128.0,0.361,24700.0,0.0012951271529417,16.6,5.2,10.1,4.0
O,1905584000.0,0.651,367.0,0.0012939901158509,4.4,5.7,5.3,2.0
KMI,5757000192.0,-0.176,10529.0,0.0012887918994159,7.8,3.5,7.3,2.0
WMB,4482999808.0,0.416,4783.0,0.001286845704773,10.0,3.0,10.0,2.0
CTVA,3878000128.0,0.085,21000.0,0.0012765257124582,,,,
TEL,3659000064.0,0.072,85000.0,0.0012679215583924,6.0,5.0,5.0,0.0
TRV,5962999808.0,0.06,30184.0,0.0012496128166845,1.0,10.1,9.4,1.0
DVN,5506999808.0,2.003,1600.0,0.0012134096126228,20.7,7.8,8.1,2.0
DOW,11921000448.0,0.285,35700.0,0.0011981160692611,,,,
MSI,2521999872.0,0.021,18700.0,0.0011961055921209,2.2,5.4,6.7,3.0
XEL,4464000000.0,0.059,11321.0,0.0011942712774784,12.9,4.2,6.8,2.0
PSX,3537999872.0,0.697,14000.0,0.0011893141527437,16.4,6.0,7.0,3.0
A,1846000000.0,0.054,17400.0,0.0011806563221459,0.3,6.3,8.6,1.0
CMG,1120268032.0,0.16,100000.0,0.0011695728296665,5.5,4.7,13.4,2.0
EA,1371000064.0,0.069,11000.0,0.0011676422852896,0.1,4.7,5.5,2.0
WELL,1849168000.0,0.167,464.0,0.0011672130023747,4.0,5.0,3.0,1.0
NEM,4326000128.0,0.053,14400.0,0.0011618479359969,6.9,5.2,8.2,3.0
MSCI,1215641984.0,0.17,4361.0,0.0011530431739766,2.0,8.0,7.0,0.0
PRU,10583000064.0,0.023,40916.0,0.0011464776933979,1.0,8.6,6.6,1.0
DLR,2282226432.0,0.113,3030.0,0.0011426498452916,2.8,7.0,2.8,0.0
CTSH,3348000000.0,0.142,330600.0,0.0011420992404803,1.1,5.6,7.6,2.0
AFL,5272999936.0,-0.102,12447.0,0.0011317764026626,0.0,10.0,7.0,2.0
DLTR,2565299968.0,0.046,61886.0,0.0011210786051673,3.4,4.1,7.4,2.0
JCI,4232000000.0,0.098,101000.0,0.0011205004507143,4.9,5.3,4.6,3.0
NUE,11821548544.0,0.495,28800.0,0.0011128468239583,10.0,9.0,13.0,2.0
AJG,2119474944.0,0.13,39876.0,0.0011126357393795,0.1,10.5,10.7,2.0
SBAC,1551357056.0,0.129,1596.0,0.0011124660439338,3.0,5.0,3.0,0.0
MCHP,2758500096.0,0.3,19500.0,0.0011124326739452,15.0,7.0,9.0,1.0
BK,,-0.02,49600.0,0.0010981143620321,1.1,11.2,9.2,3.0
GPN,3447259904.0,0.137,25000.0,0.0010978166189559,1.3,6.8,11.0,1.0
PH,3289517056.0,0.121,54640.0,0.0010970044865599,9.2,6.2,13.7,2.0
RMD,1100116992.0,0.125,7970.0,0.0010959061224403,3.0,11.0,12.0,1.0
HPQ,6584000000.0,0.088,51000.0,0.0010923540294333,0.0,6.0,5.0,2.0
YUM,2300999936.0,0.084,36000.0,0.0010907716711385,4.5,4.4,11.6,2.0
KR,6592000000.0,0.075,420000.0,0.001068468166711,6.5,5.5,9.4,3.0
ED,4720000000.0,0.154,13871.0,0.0010652164682714,7.5,6.3,9.3,3.0
SPG,3693957120.0,0.173,2400.0,0.0010644659668814,3.8,6.4,4.0,1.0
WBA,6026999808.0,0.03,315000.0,0.0010598722258012,2.0,4.7,11.5,3.0
HLT,1220000000.0,1.016,142000.0,0.0010580942391821,7.0,4.0,7.0,2.0
BAX,2998500096.0,0.258,60000.0,0.0010551983579462,2.8,7.3,13.6,3.0
TT,2299899904.0,0.123,37000.0,0.0010425495801894,7.1,5.2,3.8,2.0
CARR,2904999936.0,-0.01,58000.0,0.0010423139854834,,,,
ALL,8085000192.0,0.187,54300.0,0.0010421219140376,1.0,10.0,8.0,2.0
HES,3804999936.0,0.21,1545.0,0.0010292865618293,22.0,7.0,7.0,2.0
TDG,2155000064.0,0.078,13300.0,0.0010227815481872,13.0,8.0,18.0,2.0
IDXX,1036624000.0,0.111,10350.0,0.001009440731191,3.0,9.0,7.0,1.0
ANET,975073024.0,0.271,2993.0,0.0010027840005079,0.0,7.0,9.0,1.0
WEC,2861400064.0,0.139,6938.0,0.001002536247744,15.0,5.0,7.0,1.0
ODFL,1788445696.0,0.329,24277.0,0.0009918305604452,,,,
ILMN,903000000.0,0.258,9800.0,0.0009836053109587,1.0,6.0,4.0,3.0
PEG,3524999936.0,0.272,12684.0,0.0009812062933316,12.0,5.0,9.0,2.0
BIIB,3923399936.0,-0.042,9610.0,0.0009780275432391,0.0,7.8,13.2,3.0
OTIS,2360000000.0,0.002,70000.0,0.0009754007560389,,,,
IFF,2428999936.0,1.387,24000.0,0.0009725095310804,10.4,6.5,5.4,2.0
TSN,6703000064.0,0.236,137000.0,0.0009654806862226,14.3,10.0,12.4,4.0
ABC,3351326976.0,0.135,38000.0,0.0009542978598238,1.3,5.2,5.6,3.0
PCAR,2760199936.0,0.107,28500.0,0.0009534475718207,8.0,8.0,11.0,3.0
PPG,2184999936.0,0.11,49300.0,0.0009462090651355,9.3,7.3,7.7,1.0
DD,4099000064.0,0.139,28000.0,0.0009436666729645,13.4,7.4,8.1,3.0
GLW,3868999936.0,0.119,61200.0,0.0009415773624598,7.0,7.0,5.0,2.0
VRSK,1383399936.0,0.074,9367.0,0.0009313461627696,0.1,5.7,13.5,1.0
ES,3180729088.0,0.111,9227.0,0.0009271452304307,5.0,6.0,8.0,2.0
CMI,2968999936.0,0.003,59900.0,0.0009234145821166,5.8,6.1,7.5,2.0
LVS,181250000.0,-0.212,44500.0,0.00092205068084,1.3,8.6,7.8,2.0
ENPH,259260992.0,0.462,2260.0,0.0009206228850892,,,,
LYB,9164000256.0,0.449,19100.0,0.0009161270551769,17.0,6.0,2.0,2.0
NDAQ,1908499968.0,-0.071,5814.0,0.0009135683013642,1.8,5.3,4.6,1.0
DFS,,-0.13,16700.0,0.0009102803874332,0.0,11.0,12.0,2.0
EBAY,3460000000.0,0.054,10800.0,0.0009025876996829,1.0,7.0,9.0,2.0
MTD,1073793024.0,0.106,15600.0,0.000897015364287,1.0,5.0,7.0,0.0
CPRT,1424189056.0,0.406,8600.0,0.0008961522715208,1.6,5.4,11.0,1.0
KEYS,1420999936.0,0.059,14300.0,0.0008742235974299,2.0,5.0,2.0,1.0
AVB,1423403008.0,0.114,2839.0,0.0008716763549698,3.0,5.0,3.0,1.0
EQR,1482367488.0,0.093,2400.0,0.0008708629938339,3.0,5.0,3.0,1.0
ROST,2693531904.0,0.181,100000.0,0.0008698186942695,1.8,5.7,8.4,2.0
FAST,1467699968.0,0.203,18958.0,0.0008665163588124,10.7,7.1,8.7,2.0
CBRE,2168796928.0,0.237,105000.0,0.0008631846629391,1.0,3.0,2.0,1.0
AWK,1927000064.0,-0.052,6400.0,0.0008630849409965,9.0,5.0,8.0,1.0
AMP,4654499840.0,0.09,12000.0,0.000853549402095,2.6,12.8,7.2,2.0
AME,1600781952.0,0.254,18500.0,0.0008482881319025,8.6,6.9,8.5,1.0
TROW,3990299904.0,0.02,7529.0,0.000847725692386,2.0,5.0,9.0,1.0
DHI,6624000000.0,0.241,11788.0,0.0008461322107618,9.4,5.7,6.7,2.0
OKE,3193086976.0,1.109,2847.0,0.000845455175083,12.0,3.0,11.0,1.0
ALB,1017600000.0,0.36,6000.0,0.0008324477992903,16.0,8.0,6.0,2.0
WY,4402999808.0,0.242,9200.0,0.0008299801015704,10.0,4.0,3.0,2.0
HRL,1439666944.0,0.237,20000.0,0.0008249515805811,13.2,6.0,10.7,3.0
APTV,1980000000.0,-0.019,155000.0,0.0008220945016574,2.0,5.0,4.0,1.0
ARE,1446306944.0,0.257,559.0,0.0008065495839827,3.9,6.3,3.7,0.0
ROK,1386800000.0,0.187,24500.0,0.0008038574795567,5.4,5.7,6.6,2.0
HAL,2814000128.0,0.241,40000.0,0.000792562967169,8.9,6.3,8.6,2.0
ON,1981799936.0,0.276,30000.0,0.0007924690009028,15.0,5.0,6.0,1.0
K,2488999936.0,-0.013,31000.0,0.0007853704412239,7.4,4.6,14.9,2.0
GWW,1939000064.0,0.183,22700.0,0.0007801969935983,3.4,5.7,5.5,1.0
LEN,5984159744.0,0.165,10753.0,0.000775374124864,8.9,5.5,8.8,2.0
STT,,0.041,39335.0,0.0007734406703137,2.0,9.0,11.0,2.0
DTE,2692999936.0,0.278,10400.0,0.0007723212236044,15.0,5.0,10.0,2.0
EIX,5143000064.0,0.055,13003.0,0.0007584192605021,11.0,6.0,11.0,3.0
EXR,1107001984.0,0.211,4309.0,0.0007573124892149,4.0,6.0,4.0,1.0
CTRA,2364999936.0,4.191,936.0,0.0007565905075244,24.1,8.8,13.1,2.0
LH,3680699904.0,-0.063,75000.0,0.000746181722585,0.1,7.1,11.6,2.0
EFX,1676199936.0,0.124,13000.0,0.0007443042080348,0.0,7.0,19.0,4.0
CHD,1170700032.0,0.047,5100.0,0.0007438057276631,7.0,7.0,7.0,2.0
LUV,1017000000.0,1.288,58865.0,0.0007401753186557,11.3,6.2,14.9,2.0
WST,897800000.0,0.074,10065.0,0.0007330256045952,,,,
CDW,1664499968.0,0.117,13900.0,0.0007290112467078,2.0,4.0,3.0,0.0
AEE,2620999936.0,0.166,9116.0,0.0007272268577071,14.1,5.5,9.9,2.0
MKC,1247800064.0,0.028,14000.0,0.0007163061409277,10.1,5.2,11.3,2.0
FITB,,-0.137,19247.0,0.000714441107788,1.4,7.4,8.7,2.0
ZBH,2370050048.0,-0.133,19500.0,0.0007125833177466,4.0,8.0,15.0,2.0
ETR,4030413056.0,0.012,12500.0,0.0007062338367063,16.3,6.4,6.8,2.0
FE,3692000000.0,0.096,12395.0,0.0007038176813912,13.0,6.8,9.7,3.0
ANSS,626179008.0,0.051,5100.0,0.0006991378638482,1.0,5.0,7.0,0.0
STE,1068353984.0,0.495,13000.0,0.0006931570694451,,,,
HIG,4036000000.0,0.018,18100.0,0.0006917067683531,2.0,9.0,6.0,1.0
MTB,,-0.051,22000.0,0.000689988795977,2.0,11.0,13.0,1.0
FANG,4376000000.0,1.63,870.0,0.0006766841298017,,,,
WAT,958425024.0,0.063,7800.0,0.0006729212108979,1.4,6.2,9.4,0.0
BKR,2769999872.0,0.011,55000.0,0.0006675532990172,,,,
PPL,2603000064.0,0.083,5607.0,0.0006647068260589,19.7,5.8,8.3,2.0
VTR,1537922048.0,0.061,434.0,0.000663650174425,2.8,5.7,4.3,0.0
TSCO,1671497984.0,0.083,46000.0,0.0006599988768395,3.0,4.0,7.0,2.0
FTV,1319200000.0,0.093,18000.0,0.000659222830594,16.0,5.0,14.0,1.0
ULTA,1561005056.0,0.241,16500.0,0.0006575966256863,4.0,4.0,7.0,2.0
VMC,1405500032.0,0.367,11912.0,0.0006545948141379,15.6,8.9,4.6,2.0
VICI,1437027968.0,0.027,105.0,0.0006530126498547,,,,
IT,1148030976.0,0.174,16600.0,0.0006498986996238,0.0,6.0,15.0,1.0
MLM,1483600000.0,0.265,10000.0,0.0006471772994521,19.0,9.0,5.0,2.0
GPC,1667291008.0,0.186,52000.0,0.0006419019957567,4.0,4.0,5.0,2.0
LYV,-9524000.0,10.387,10200.0,0.0006369153812647,,,,
MAA,1036393024.0,0.12,2429.0,0.0006315313017538,5.5,5.4,3.7,1.0
URI,2891000064.0,0.227,20400.0,0.0006314235606668,5.9,6.0,6.6,1.0
ALGN,1061756032.0,0.088,23625.0,0.0006267468473088,,,,
NTRS,,0.064,21700.0,0.0006249852870018,1.9,10.2,11.8,2.0
AMCR,2098000000.0,0.13,46000.0,0.0006245344688037,,,,
GRMN,1356657024.0,0.094,18700.0,0.0006224855127038,5.4,5.3,7.9,2.0
VRSN,929443008.0,0.072,902.0,0.0006218192770019,4.7,5.9,10.8,1.0
RF,,-0.066,19723.0,0.0006207073967436,1.6,7.4,7.0,2.0
DAL,1351000064.0,1.253,83000.0,0.0006192338142643,10.0,5.0,11.0,2.0
MPWR,297340992.0,0.444,2773.0,0.0006143799036802,,,,
RJF,,0.101,15000.0,0.0006135732036079,1.2,12.4,10.4,2.0
CF,3126000128.0,1.305,2970.0,0.0006122397621465,16.8,5.5,7.7,1.0
MTCH,929139968.0,0.237,2500.0,0.0006118805820758,,,,
CMS,2287000064.0,0.177,8504.0,0.0006099805621845,9.8,5.7,5.8,2.0
